# Holders
# unique wallets holding a tracked collectible, deduped across platforms
# metric: holders · unit: count · window: last 90 days
# as of: 2026-09-06 · source: varible.rarible.com
date,Holders
2026-07-14,41408
2026-07-15,41426
2026-07-16,41510
2026-07-20,41649
2026-07-21,41654
2026-07-22,41700
2026-07-23,41706
2026-07-24,41707
2026-07-25,41797
2026-07-26,41861
2026-07-27,41884
2026-07-28,41944
2026-07-29,42035
2026-07-30,42071
2026-07-31,42162
2026-08-01,42404
2026-08-02,42516
2026-08-03,42607
2026-08-04,42773
2026-08-05,42781
2026-08-06,42789
2026-08-07,42767
2026-08-08,42816
2026-08-09,42828
2026-08-12,42866
2026-08-13,42919
2026-08-14,42923
2026-08-15,43081
2026-08-16,43147
2026-08-17,43210
2026-08-18,43225
2026-08-19,43247
2026-08-20,43286
2026-08-21,43469
2026-08-22,43672
2026-08-23,43837
2026-08-24,43876
2026-08-25,43998
2026-08-26,44255
2026-08-27,44460
2026-08-28,44632
2026-08-29,44713
2026-08-30,44773
2026-08-31,44920
2026-09-01,44913
2026-09-02,45007
2026-09-03,45116
2026-09-04,45225
2026-09-05,45354
2026-09-06,45419
2026-09-07,45534
