# Market volume by venue
# daily turnover per venue — marketplace resale plus gacha
# metric: total24h · unit: USD · window: last 90 days · complete days only
# as of: 2026-09-06 · source: varible.rarible.com
date,courtyard,dyli,collector-crypt,beezie
2026-06-09,18.47099587,2025.06,54308.99299999999,20838.989999999998
2026-06-10,43.007751510000006,1012.0400000000001,82678.34940000006,14812
2026-06-11,69.00793787,2098.5200000000004,55623.70059999995,10246
2026-06-12,99.11602806,1315.96,88052.31440000009,7005
2026-06-13,119.84194087999998,437.62000000000006,62416.493999999955,8722.99
2026-06-14,45.82736686,1456.1700000000003,49256.835304999986,15579
2026-06-15,88.68728027,1025.4599999999998,250773.7567639996,11517
2026-06-16,80.20592541,1502.3200000000004,121665.52068399993,22315
2026-06-17,70.99220799999999,7664.639999999981,112641.72796099994,9652
2026-06-18,82.49382499999999,3311.8700000000017,58364.616859,29281
2026-06-19,208.91703413000002,804.9300000000001,67083.19611699997,10567
2026-06-20,392.34996631,835.9299999999998,81796.15896100001,38000
2026-06-21,132.07948733,1300.24,58350.655917000026,17796
2026-06-22,17.992328999999998,935.38,123072.09266400005,20412
2026-06-23,9006.83922591,1393.4,112555.530095,8637
2026-06-24,67.50130874999999,1446.0000000000002,113417.19502400004,6201
2026-06-25,34.761562659999996,1388.25,102703.39347000014,10993
2026-06-26,123.7784446,1566.9899999999998,105019.64083000003,9512
2026-06-27,155.4351107,1414.13,63038.863312999994,25687.5
2026-06-28,78.988904,1324.62,39986.44036699997,15968
2026-06-29,65.62665928,1419.6899999999994,25037.610682999977,23362
2026-06-30,126.50656787999999,1982.860000000002,91444.87003600001,10490
2026-07-01,470.92029792,2088.5100000000016,59466.553136000024,8946.99
2026-07-02,,2147.62,85847.91350099997,4755
2026-07-03,8.8991317,2312.8399999999992,32271.388041999995,10815
2026-07-04,263.57743008,2100.8900000000012,86214.79467699998,9347
2026-07-05,,1301.2700000000007,63347.912200000006,22134
2026-07-06,25.9955115,1574.7899999999993,133529.2948,7725
2026-07-07,6.001037999999999,1551.6499999999996,42022.90659999998,5391
2026-07-08,14.799169,2277.8599999999997,71320.63262800002,10451
2026-07-09,174.99290680000001,1555.6699999999998,67280.25661399998,5931
2026-07-10,38.85477682,1344.4100000000005,56051.92780000003,12079
2026-07-11,90.98050999999998,2241.9700000000007,23502.942808000014,7075
2026-07-12,50.490523499999995,1474.5400000000002,15954.845902999998,7221
2026-07-13,392.951853,2997.579999999999,55940.43160000003,5828
2026-07-14,312.14766887999997,801.53,27884.508514000012,6390
2026-07-15,4.4991,2254.76,28428.2516,10540
2026-07-16,62.7983682,1728.2399999999996,20953.674219999994,11378.99
2026-07-17,3012.11484,1835.6399999999999,60615.053204000025,26614
2026-07-18,230.00775600000003,846.0000000000002,22513.640764999993,6351
2026-07-19,12.7992208,1205.4200000000008,28785.352001999992,3405
2026-07-20,492.77575128,910.8000000000004,31215.620400000007,9865
2026-07-21,57.002004,1403.9000000000008,65415.85130400001,3941
2026-07-22,36.29862489999999,2551.460000000001,24368.495399999993,7733.6
2026-07-23,109.47009747,1445.2200000000012,18546.535120999986,6958
2026-07-24,783.644319,1596.3000000000009,76463.26019999999,4054
2026-07-25,498.13416199999995,1817.2299999999998,33126.495037999994,5145
2026-07-26,62.011768000000004,1502.1399999999992,15784.899081000003,1075
2026-07-27,42.999778500000005,3922.3899999999994,20183.984950000013,12643
2026-07-28,272.96139,1380.9999999999989,19186.403830000003,7109
2026-07-29,35.994488,2513.8699999999994,25684.763474000003,20419
2026-07-30,78.5833764,1562.5899999999988,31947.774819000002,5818
2026-07-31,10.797040800000001,742.7100000000002,40931.084499999975,14227.69
2026-08-01,57.75012465000001,1480.6799999999998,66284.10463500001,6312
2026-08-02,29.993367,1395.24,38432.87781600001,6647
2026-08-03,26.500716999999998,376.2400000000001,69486.485257,16608
2026-08-04,76.986448,2911.7099999999996,34682.30780000001,14268
2026-08-05,19.8979745,3502.4999999999977,41367.23481600001,4005
2026-08-06,8.500012,1661.4599999999893,47201.76048799998,3093
2026-08-07,133.2253142,6144.760000000042,75235.32861600001,8102
2026-08-08,1307.40261929,3041.3500000000013,67876.19159999999,5434
2026-08-09,127.77425321,4018.0000000000005,67831.41030399998,3802
2026-08-10,86.53558389999999,2622.6099999999988,87792.09459999997,10389
2026-08-11,140.63373911999997,2005.55,48942.04868000003,3515
2026-08-12,547.0239651999999,4432.430000000003,31633.500359999987,2517
2026-08-13,164.003309,2910.2200000000003,24349.828335999995,4111
2026-08-14,205.02095951,1690.88,23618.385336,609
2026-08-15,40.397441,4327.629999999999,17386.65972,1257
2026-08-16,101.8050393,3738.269999999999,24602.115311999994,5473
2026-08-17,139.79884384,1080.57,28252.664608000006,4631
2026-08-18,52.007415619999996,1114.9799999999998,50197.447103999984,6329
2026-08-19,45.503045349999994,1975.62,40901.73903199998,13882
2026-08-20,11.22816058,5630.039999999998,19595.461031999996,7933
2026-08-21,195.75941799999998,2201.1399999999985,11168.816959999998,8522
2026-08-22,12.995366,1403.05,51197.50652799999,2286
2026-08-23,14.012840959999998,1978.0300000000002,23399.166208000006,3520
2026-08-24,75.9923855,5067.610000000006,29116.582824,8787
2026-08-25,16.960344479999996,2068.08,35411.07645599999,6513
2026-08-26,115.53174107000001,1543.7899999999997,28977.245672,11729
2026-08-27,92.47361415,1587.9899999999998,21894.51735999999,8928
2026-08-28,161.39130785,1642.1500000000003,18894.385864,14360
2026-08-29,13.000488,2064.1900000000023,21952.829471999998,26029
2026-08-30,78.00941600000002,2783.370000000001,13127.395272000002,5764
2026-08-31,16.00310801,2061.16,32489.727200000005,14276
2026-09-01,129.9106428,1322.3099999999995,69411.45532800003,13264
2026-09-02,145.02224847,1152.4700000000003,21987.62104000001,80893.23999999999
2026-09-03,72.6630337,279.00000000000006,13385.454292000004,42246
2026-09-04,102.25458749999999,753.9399999999983,20262.37298399999,18132
2026-09-05,60.75741725,232.70000000000002,55883.233284,2349
2026-09-06,329.41927081,1455.24,42249.82497299998,4917
