# Resale vs gacha
# what the market's turnover actually is — gacha dwarfs resale
# metric: total24h · unit: USD · window: last 90 days
# as of: 2026-09-06 · source: varible.rarible.com
date,Gacha,Marketplace resale
2026-06-09,5722939.927154001,77191.51399586999
2026-06-10,12965587.082828,98545.39715151007
2026-06-11,13525134.151742002,68037.22853786996
2026-06-12,10189910.726,96472.39042806008
2026-06-13,10379112.6936,71696.94594087996
2026-06-14,8117973.88473,66337.83267185999
2026-06-15,16535829.106714,263404.9040442696
2026-06-16,14840771.3703,145563.0466094099
2026-06-17,14901842.747669002,130029.36016899992
2026-06-18,11125747.884172002,91039.98068400001
2026-06-19,8973478.857136,78664.04315112997
2026-06-20,10893104.030064,121024.43892731001
2026-06-21,9355364.739999,77578.97540433003
2026-06-22,14817603.601666,144437.46499300006
2026-06-23,11183021.783025,131592.76932090998
2026-06-24,14229591.650308002,121131.69633275004
2026-06-25,13534055.181176,115119.40503266014
2026-06-26,9462158.11562,116222.40927460004
2026-06-27,7210319.199819,90295.9284237
2026-06-28,7184030.151427001,57358.04927099997
2026-06-29,9094548.194912001,49884.927342279974
2026-06-30,5362782.260466001,104044.23660388001
2026-07-01,7987534.506386001,70972.97343392002
2026-07-02,6218146.951389999,92750.53350099997
2026-07-03,6518799.202508,45408.12717369999
2026-07-04,8268215.299008,97926.26210707998
2026-07-05,6014953.879998,86783.18220000001
2026-07-06,9186163.088035,142855.0803115
2026-07-07,11028894.905697,48971.55763799998
2026-07-08,5439906.3753309995,84064.29179700003
2026-07-09,7600274.640473,74941.91952079999
2026-07-10,6639121.092864,69514.19257682003
2026-07-11,4948619.291745,32910.89331800002
2026-07-12,4873802.658699,24700.8764265
2026-07-13,9746824.177744,65158.96345300003
2026-07-14,8564962.342048,35388.18618288001
2026-07-15,9088367.461466,41227.5107
2026-07-16,7543609.663146,34123.702588199994
2026-07-17,8401286.378854,92076.80804400003
2026-07-18,7235509.755607001,29940.648520999992
2026-07-19,7121601.571268,33408.57122279999
2026-07-20,5756296.4437690005,42484.196151280004
2026-07-21,6065652.4377069995,70817.75330800001
2026-07-22,14514363.465596998,34689.85402489999
2026-07-23,9973778.290715,27059.225218469986
2026-07-24,6075931.243125,82897.20451899999
2026-07-25,3867763.9873989997,40586.85919999999
2026-07-26,4153226.5808099997,18424.050849000003
2026-07-27,4806205.083741,36792.37472850001
2026-07-28,5366016.109816,27949.365220000003
2026-07-29,8364679.585107998,48653.627962
2026-07-30,6139488.284888,39406.9481954
2026-07-31,6197003.664359,55912.28154079998
2026-08-01,7213878.147865,74134.53475965
2026-08-02,10936493.877694998,46505.11118300001
2026-08-03,13541383.94586,86497.22597399999
2026-08-04,6463281.090192,51939.00424800001
2026-08-05,8512464.478289999,48894.63279050001
2026-08-06,9194682.30596,51964.72049999997
2026-08-07,8219806.185713001,89615.31393020005
2026-08-08,7019377.9312660005,77658.94421928999
2026-08-09,6544544.031560001,75779.18455720997
2026-08-10,5035963.887679,100890.24018389996
2026-08-11,8054693.799273,54603.23241912003
2026-08-12,6477042.062828999,39129.95432519999
2026-08-13,6760519.434734,31535.051644999996
2026-08-14,7196087.707715002,26123.28629551
2026-08-15,3974149.03632,23011.687160999998
2026-08-16,5104570.961556,33915.19035129999
2026-08-17,4578213.276139,34104.033451840005
2026-08-18,6133327.8728169985,57693.43451961999
2026-08-19,7905708.925174,56804.862077349986
2026-08-20,7138356.098202,33169.729192579995
2026-08-21,4963829.7957999995,22087.716377999997
2026-08-22,4525247.0747,54899.55189399999
2026-08-23,4845267.73484,28911.209048960005
2026-08-24,4743903.436165,43047.18520950001
2026-08-25,6996802.9512060005,44009.11680047999
2026-08-26,5834907.260113,42365.56741307
2026-08-27,10029727.501848,32502.980974149992
2026-08-28,7265674.085456999,35057.927171849995
2026-08-29,3940623.94868,50059.019960000005
2026-08-30,3481016.563974,21752.774688
2026-08-31,5248605.120403999,48842.890308010006
2026-09-01,5961156.081434,84127.67597080003
2026-09-02,4881702.860130999,104178.35328847
2026-09-03,4504943.543264,55983.117325700005
2026-09-04,4417777.854245999,39250.56757149999
2026-09-05,5617364.236022,58525.69070125
2026-09-06,3797501.6004879996,48951.48424380998
